Gewicht,Sorte,Bewaesserung
174.0867853,3,wenig
162.5456373,3,wenig
178.5827296,3,wenig
169.0286737,3,wenig
172.0898505,3,wenig
189.8753987,3,wenig
162.9667042,3,wenig
161.1259493,3,wenig
169.4275356,3,wenig
173.7718859,3,wenig
162.3440568,3,wenig
171.5139752,3,wenig
183.4504426,3,wenig
168.9096381,3,wenig
171.0223185,3,wenig
172.4399403,3,wenig
169.7264713,3,wenig
171.6596079,3,wenig
162.3300189,3,wenig
170.3093444,3,wenig
169.9334462,3,wenig
181.7866903,3,wenig
160.2504702,3,wenig
168.6228451,3,wenig
175.1380935,3,wenig
164.7280451,3,wenig
177.91815,3,wenig
165.6787599,4,wenig
167.3265423,4,wenig
185.894197,4,wenig
168.3184013,4,wenig
176.3237396,4,wenig
174.850417,4,wenig
179.7747182,4,wenig
165.8900355,4,wenig
170.8764941,4,wenig
169.6660122,4,wenig
176.5860771,4,wenig
182.5072658,4,wenig
168.1142009,4,wenig
172.2736171,4,wenig
166.7987346,4,wenig
173.720356,4,wenig
184.4078245,4,wenig
179.3647005,4,wenig
172.4217654,4,wenig
164.3283741,4,wenig
182.5120582,4,wenig
179.6130658,4,wenig
174.094302,4,wenig
160.8128279,4,wenig
169.8103315,4,wenig
172.577596,4,wenig
175.2268509,4,wenig
183.2626653,4,wenig
175.3681064,4,wenig
182.7975235,4,wenig
180.385545,4,wenig
177.5971636,4,wenig
169.1340302,4,wenig
167.3755595,4,wenig
156.5257021,4,wenig
168.8082304,4,wenig
189.0454968,4,wenig
166.4902784,4,wenig
177.1572974,4,wenig
177.4355433,4,wenig
178.6394168,4,wenig
183.7405296,4,wenig
185.1174327,4,wenig
188.1122479,4,wenig
193.0265455,4,wenig
173.5769456,4,wenig
167.2372249,4,wenig
176.2610342,4,wenig
170.0658125,4,wenig
162.6206546,4,wenig
222.3537952,1,mittel
225.7717632,1,mittel
215.0611397,1,mittel
214.5397795,1,mittel
220.0382913,1,mittel
202.1579302,1,mittel
222.2386524,1,mittel
221.844819,1,mittel
205.9909467,1,mittel
213.7080991,1,mittel
214.2733205,1,mittel
225.1823253,1,mittel
217.2078288,1,mittel
219.1631742,1,mittel
226.5808923,1,mittel
218.0782469,1,mittel
210.7823908,1,mittel
211.7678876,1,mittel
222.8056365,1,mittel
210.6652346,1,mittel
227.0107606,1,mittel
216.4857712,1,mittel
215.2152958,1,mittel
206.6881667,1,mittel
217.2529193,1,mittel
227.224585,1,mittel
231.2620159,1,mittel
220.9614938,1,mittel
223.9117657,1,mittel
210.1693331,1,mittel
208.147237,1,mittel
212.1117542,1,mittel
219.4186148,1,mittel
218.4427992,1,mittel
226.6870364,1,mittel
223.0859895,1,mittel
228.4660436,1,mittel
214.8686421,1,mittel
225.1533606,1,mittel
223.4728833,1,mittel
226.0422701,1,mittel
204.7518937,1,mittel
226.7706496,1,mittel
222.8879525,1,mittel
210.9805495,1,mittel
224.9915255,1,mittel
226.3117439,1,mittel
220.3838443,1,mittel
218.3669992,1,mittel
216.3845022,1,mittel
232.6049604,2,mittel
230.2219518,2,mittel
232.5676342,2,mittel
223.9777823,2,mittel
220.4743832,2,mittel
239.9101826,2,mittel
223.9496971,2,mittel
243.8035449,2,mittel
225.0713848,2,mittel
229.1638007,2,mittel
230.8399872,2,mittel
215.0885294,2,mittel
226.6280893,2,mittel
226.255905,2,mittel
244.04338,2,mittel
235.6863947,2,mittel
227.4975773,2,mittel
246.0554258,2,mittel
222.9152928,2,mittel
226.9141773,2,mittel
245.231359,2,mittel
228.2298872,2,mittel
223.8712957,2,mittel
226.3869365,2,mittel
220.4966847,2,mittel
239.855951,2,mittel
223.7581964,2,mittel
237.9556119,2,mittel
234.0810507,2,mittel
225.9597944,2,mittel
232.8242157,2,mittel
238.343776,2,mittel
224.7749079,2,mittel
239.2923708,2,mittel
217.8326596,2,mittel
234.1957812,2,mittel
223.8476099,2,mittel
228.5583679,2,mittel
220.2769155,2,mittel
227.4631032,2,mittel
231.096514,2,mittel
229.3899861,2,mittel
221.2105253,2,mittel
232.7383274,2,mittel
224.832351,2,mittel
230.5326022,2,mittel
219.20054,2,mittel
234.2536848,2,mittel
235.909256,2,mittel
233.638084,2,mittel
213.1860663,3,mittel
212.449251,3,mittel
210.2751537,3,mittel
197.2699121,3,mittel
205.1015583,3,mittel
209.6384616,3,mittel
206.3346827,3,mittel
208.6814296,3,mittel
222.4844048,3,mittel
206.0116236,3,mittel
209.6418272,3,mittel
202.3187328,3,mittel
217.440315,3,mittel
220.2505488,3,mittel
208.7911711,3,mittel
203.1963513,3,mittel
206.2159195,3,mittel
218.0290643,3,mittel
213.6873094,3,mittel
218.9434796,3,mittel
209.7742721,3,mittel
219.2952105,3,mittel
202.806734,3,mittel
211.2172827,3,mittel
213.8949288,3,mittel
211.3227291,3,mittel
205.8555348,3,mittel
214.9636604,3,mittel
210.0601364,3,mittel
209.9013446,3,mittel
215.7731623,3,mittel
220.3070971,3,mittel
213.8067783,3,mittel
201.726706,3,mittel
208.5456783,3,mittel
205.8176263,3,mittel
206.9791511,3,mittel
220.1050832,3,mittel
209.0375769,3,mittel
203.4870739,3,mittel
208.4352283,3,mittel
217.2451491,3,mittel
205.8415835,3,mittel
210.2993744,3,mittel
200.219543,3,mittel
201.196247,3,mittel
216.2092012,3,mittel
206.0754837,3,mittel
218.392436,3,mittel
209.0732809,3,mittel
204.8116978,4,mittel
216.9454121,4,mittel
203.174723,4,mittel
221.2022097,4,mittel
218.3825002,4,mittel
199.0927378,4,mittel
199.5373731,4,mittel
204.4428236,4,mittel
202.4968868,4,mittel
208.367626,4,mittel
196.3338523,4,mittel
192.8767542,4,mittel
207.4885553,4,mittel
200.0003324,4,mittel
200.8746917,4,mittel
206.5686734,4,mittel
200.0467897,4,mittel
212.6110679,4,mittel
216.6018051,4,mittel
206.5618164,4,mittel
202.8620945,4,mittel
200.4077095,4,mittel
212.5231117,4,mittel
210.6294683,4,mittel
194.6929668,4,mittel
205.0063509,4,mittel
198.2660748,4,mittel
212.0287237,4,mittel
209.4639324,4,mittel
215.3682618,4,mittel
213.7469932,4,mittel
200.410694,4,mittel
208.2531434,4,mittel
198.3013703,4,mittel
198.6831979,4,mittel
206.1251529,4,mittel
197.2517678,4,mittel
206.2674416,4,mittel
210.7994397,4,mittel
194.6664692,4,mittel
198.9908454,4,mittel
201.7446775,4,mittel
197.9130307,4,mittel
190.4274816,4,mittel
206.4723336,4,mittel
205.5119374,4,mittel
199.2668516,4,mittel
197.7772261,4,mittel
199.207275,4,mittel
213.5300026,4,mittel
212.0042305,1,viel
205.9707365,1,viel
221.5511672,1,viel
223.2315697,1,viel
212.7947665,1,viel
222.5099398,1,viel
239.1625851,1,viel
220.5487656,1,viel
231.0005905,1,viel
222.6423544,1,viel
210.8136383,1,viel
214.322874,1,viel
218.7362124,1,viel
225.2634434,1,viel
220.4536487,1,viel
220.5740636,1,viel
223.9830064,1,viel
229.276054,1,viel
221.7990749,1,viel
219.1201043,1,viel
221.4691618,1,viel
227.719722,1,viel
219.9679594,1,viel
216.6234654,1,viel
210.004076,1,viel
215.3779445,1,viel
213.5843427,1,viel
227.334561,1,viel
227.3574391,1,viel
221.7830701,1,viel
217.4564308,1,viel
220.6911117,1,viel
216.7233001,1,viel
206.7653803,1,viel
223.2461383,1,viel
216.6977914,1,viel
221.1829959,1,viel
216.6872118,1,viel
211.3038682,1,viel
230.1805748,1,viel
237.0092847,1,viel
222.8821931,1,viel
221.5341717,1,viel
213.3235665,1,viel
233.9963449,1,viel
214.836216,1,viel
228.9480804,1,viel
219.7866795,1,viel
223.3529129,1,viel
212.9600789,1,viel
233.9303417,2,viel
230.5773476,2,viel
228.2969913,2,viel
218.643602,2,viel
225.5046552,2,viel
228.0285922,2,viel
224.844138,2,viel
214.9268744,2,viel
234.5526341,2,viel
225.6250856,2,viel
230.1554083,2,viel
223.4914182,2,viel
224.4421875,2,viel
231.1261172,2,viel
220.6881439,2,viel
212.6348617,2,viel
220.0641948,2,viel
231.3212348,2,viel
215.6636404,2,viel
216.8264878,2,viel
218.7886804,2,viel
220.2899632,2,viel
227.3666829,2,viel
225.2830866,2,viel
229.1229209,2,viel
223.704721,2,viel
223.663779,2,viel
220.7051211,2,viel
222.1887726,2,viel
230.4994999,2,viel
224.5218928,2,viel
224.8944135,2,viel
248.8092038,2,viel
217.6873326,2,viel
229.0237557,2,viel
225.5591085,2,viel
236.7595012,2,viel
237.9863176,2,viel
232.0082041,2,viel
232.0738657,2,viel
237.3332476,2,viel
230.2417901,2,viel
218.4656913,2,viel
219.3199408,2,viel
242.5449012,2,viel
229.6563019,2,viel
226.6646142,2,viel
224.0691106,2,viel
212.883843,2,viel
234.1801431,2,viel
234.2698548,3,viel
244.8972898,3,viel
249.2466064,3,viel
245.759052,3,viel
232.8326793,3,viel
230.3076505,3,viel
240.2806166,3,viel
242.8652254,3,viel
250.2987521,3,viel
236.3440538,3,viel
242.4738919,3,viel
243.1052916,3,viel
246.6650753,3,viel
238.8219639,3,viel
239.8083114,3,viel
243.5791027,3,viel
231.5330775,3,viel
230.3462799,3,viel
242.1089988,3,viel
249.7810223,3,viel
253.4056969,3,viel
224.8108735,3,viel
240.933729,3,viel
243.3442112,3,viel
257.4172241,3,viel
244.4924383,3,viel
237.5012546,3,viel
243.1040144,3,viel
227.9608845,3,viel
240.4814283,3,viel
248.6533395,3,viel
246.4739591,3,viel
244.4789409,3,viel
233.1268452,3,viel
254.187301,3,viel
247.0611413,3,viel
242.2785381,3,viel
232.2953135,3,viel
242.7138967,3,viel
249.769735,3,viel
250.3286336,3,viel
237.1573499,3,viel
221.8635317,3,viel
245.2175029,3,viel
241.2505689,3,viel
238.8575638,3,viel
243.3679759,3,viel
239.5411213,3,viel
229.2508612,3,viel
236.6473072,3,viel
245.7516812,4,viel
248.8018701,4,viel
246.8414166,4,viel
241.0566941,4,viel
238.3512661,4,viel
254.6468117,4,viel
257.0258114,4,viel
267.6160213,4,viel
248.7209621,4,viel
251.4570688,4,viel
242.6550992,4,viel
245.2546559,4,viel
253.2459386,4,viel
246.7684778,4,viel
250.4035044,4,viel
244.8169558,4,viel
241.6548082,4,viel
250.2108558,4,viel
241.1846547,4,viel
248.2785822,4,viel
255.1402275,4,viel
244.2969926,4,viel
237.4328244,4,viel
245.883525,4,viel
245.2507205,4,viel
242.414323,4,viel
260.0243546,4,viel
242.2579711,4,viel
246.463699,4,viel
252.065209,4,viel
247.3969842,4,viel
240.9994535,4,viel
245.9691102,4,viel
258.7581481,4,viel
239.2205081,4,viel
251.5480345,4,viel
254.8610579,4,viel
247.1270319,4,viel
251.2980629,4,viel
235.5238955,4,viel
254.636658,4,viel
248.8962933,4,viel
251.8581005,4,viel
253.9742805,4,viel
256.5711547,4,viel
255.3436189,4,viel
247.6305012,4,viel
238.8595871,4,viel
262.6012228,4,viel
251.0491701,4,viel
